BESTELLIDENT;B_EMAIL;B_TELEFON;B_GEBDATUM;FLAG_LRIDENTISCH;FLAG_NEWSLETTER;Z_METHODE;Z_CARD_ART;Z_CARD_VALID;Z_LAST_NAME;WERT_BEST;TAG_BEST;TIME_BEST;ANZ_BEST;ANUMMER_01;ANUMMER_02;ANUMMER_03;ANUMMER_04;ANUMMER_05;ANUMMER_06;ANUMMER_07;ANUMMER_08;ANUMMER_09;ANUMMER_10;CHK_LADR;CHK_RADR;CHK_KTO;CHK_CARD;CHK_COOKIE;CHK_IP;FAIL_LPLZ;FAIL_LORT;FAIL_LPLZORTMATCH;FAIL_RPLZ;FAIL_RORT;FAIL_RPLZORTMATCH;SESSION_TIME;NEUKUNDE;ANZ_BEST_GES;WERT_BEST_GES;DATUM_LBEST;MAHN_AKT;MAHN_HOECHST;PROGNOSE_BETRUG
2;ja;nein;1974-03-10 00:00:00.000;nein;nein;Kreditkarte;Eurocard;3.2006;ja;9,8;Fr;1899-12-30 10:43:00.000;1;303950;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;100,54;2001-06-16 00:00:00.000;0;0;nein
7;nein;ja;1965-04-18 00:00:00.000;nein;nein;Lastschrift;;5.2006;ja;54,5;Mo;1899-12-30 22:02:00.000;1;406036;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
11;ja;nein;1973-09-29 00:00:00.000;ja;nein;Kreditkarte;Visa;11.2005;ja;6,5;Mi;1899-12-30 10:48:00.000;1;102611;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
16;ja;ja;1974-12-24 00:00:00.000;nein;nein;Kreditkarte;Visa;4.2005;ja;42,8;Di;1899-12-30 15:40:00.000;1;405213;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
19;nein;ja;1981-11-28 00:00:00.000;nein;nein;Kreditkarte;Eurocard;6.2005;ja;9,8;So;1899-12-30 16:23:00.000;1;207171;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;17;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
20;ja;nein;1975-09-04 00:00:00.000;nein;nein;Kreditkarte;Eurocard;11.2006;ja;9,99;Sa;1899-12-30 11:58:00.000;1;503367;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
21;ja;nein;1972-09-17 00:00:00.000;nein;nein;Kreditkarte;Visa;7.2005;ja;176,09;Mo;1899-12-30 23:55:00.000;6;409662;405555.0;309500.0;409200.0;103397.0;404269.0;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
23;ja;nein;1969-01-17 00:00:00.000;ja;nein;Rechnung;;7.2007;;23,5;Mi;1899-12-30 17:32:00.000;1;404735;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
24;nein;ja;1976-11-23 00:00:00.000;ja;nein;Rechnung;;4.2005;;68,99;Fr;1899-12-30 22:15:00.000;2;202399;207046.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
26;ja;nein;1986-03-29 00:00:00.000;ja;nein;Kreditkarte;Eurocard;3.2007;ja;167,5;Mi;1899-12-30 05:10:00.000;3;102845;403378.0;402572.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
28;ja;nein;1982-04-11 00:00:00.000;nein;nein;Kreditkarte;Eurocard;8.2007;ja;17,5;Mo;1899-12-30 20:12:00.000;1;104935;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;1;26,66;2001-12-30 00:00:00.000;0;1;nein
38;ja;ja;1985-08-13 00:00:00.000;ja;nein;Rechnung;;7.2005;;17,5;Sa;1899-12-30 10:40:00.000;1;602133;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;nein;1;6,43;2003-10-20 00:00:00.000;0;0;nein
39;ja;nein;1899-12-30 00:00:00.000;nein;nein;Kreditkarte;Eurocard;8.2007;ja;29,99;Sa;1899-12-30 09:02:00.000;1;502133;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;2;nein;1;47,78;2003-07-22 00:00:00.000;0;2;nein
40;ja;nein;1962-01-26 00:00:00.000;ja;nein;Rechnung;;5.2005;;56;Sa;1899-12-30 02:16:00.000;1;402681;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
44;ja;nein;1955-02-06 00:00:00.000;ja;nein;Lastschrift;;4.2007;ja;145,8;So;1899-12-30 06:19:00.000;3;201216;100147.0;406406.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;17,94;2004-02-01 00:00:00.000;1;1;nein
45;ja;nein;1975-01-09 00:00:00.000;nein;nein;Kreditkarte;Visa;2.2006;ja;68,4;Di;1899-12-30 17:02:00.000;1;503136;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;101,15;2002-01-20 00:00:00.000;0;2;nein
46;ja;nein;1986-01-11 00:00:00.000;ja;nein;Rechnung;;12.2005;;9,99;Sa;1899-12-30 22:17:00.000;1;200450;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;nein;1;93,89;2004-05-28 00:00:00.000;0;3;nein
49;nein;nein;1969-03-27 00:00:00.000;nein;nein;Kundenkarte;Kundenkarte;2.2007;ja;54,5;So;1899-12-30 15:33:00.000;1;203367;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;nein;0;0;1899-12-30 00:00:00.000;0;0;nein
51;ja;nein;1963-12-03 00:00:00.000;ja;nein;Rechnung;;1.2005;;29,5;Di;1899-12-30 19:56:00.000;1;500925;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;11;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
52;ja;nein;1964-10-03 00:00:00.000;ja;nein;Rechnung;;8.2007;;54,5;Sa;1899-12-30 01:46:00.000;1;203367;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
53;ja;ja;1970-10-09 00:00:00.000;ja;nein;Rechnung;;2.2005;;62,09;So;1899-12-30 20:32:00.000;4;502496;202677.0;204792.0;402469.0;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;15,13;2004-08-19 00:00:00.000;0;0;nein
56;ja;ja;1967-12-01 00:00:00.000;ja;nein;Kreditkarte;Visa;6.2007;ja;116,8;Di;1899-12-30 18:52:00.000;4;503776;107610.0;404765.0;406897.0;;;;;;;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;1;207,27;2004-02-09 00:00:00.000;0;2;ja
58;ja;ja;1961-02-08 00:00:00.000;ja;nein;Rechnung;;7.2007;;46,5;Fr;1899-12-30 11:27:00.000;1;100959;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;nein;2;186,16;2001-04-05 00:00:00.000;0;0;nein
60;ja;nein;1965-09-07 00:00:00.000;nein;nein;Kundenkarte;Kundenkarte;12.2005;ja;34,5;Mo;1899-12-30 18:08:00.000;1;207703;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;8;nein;0;0;1899-12-30 00:00:00.000;0;0;nein
63;ja;nein;1973-11-03 00:00:00.000;ja;nein;Kreditkarte;Amex;6.2007;ja;64,5;So;1899-12-30 10:38:00.000;1;109500;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
66;ja;nein;1971-05-09 00:00:00.000;nein;nein;Lastschrift;;11.2006;ja;18,2;Sa;1899-12-30 06:47:00.000;1;406520;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
67;nein;nein;1970-12-20 00:00:00.000;nein;nein;Kreditkarte;Visa;8.2007;ja;164,2;Sa;1899-12-30 19:23:00.000;5;505580;300925.0;207344.0;200147.0;205378.0;;;;;;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;nein;1;179,28;2001-07-20 00:00:00.000;0;0;ja
72;ja;nein;1981-12-11 00:00:00.000;ja;nein;Rechnung;;9.2007;;39,98;Di;1899-12-30 12:26:00.000;2;205966;401373.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;2;311,54;2003-11-06 00:00:00.000;0;0;nein
80;ja;nein;1980-05-19 00:00:00.000;ja;nein;Rechnung;;12.2006;;31,9;Mo;1899-12-30 11:18:00.000;1;301371;;;;;;;;;;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;10;nein;3;36,81;2004-03-13 00:00:00.000;0;3;nein
81;ja;nein;1962-09-23 00:00:00.000;ja;nein;Rechnung;;6.2005;;37;Mo;1899-12-30 12:33:00.000;1;402734;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
84;ja;nein;1967-02-07 00:00:00.000;ja;nein;Rechnung;;9.2006;;6,5;Sa;1899-12-30 11:16:00.000;1;402089;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
89;nein;ja;1950-08-21 00:00:00.000;ja;nein;Rechnung;;11.2006;;37;Do;1899-12-30 15:28:00.000;1;105555;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
93;ja;nein;1971-03-02 00:00:00.000;ja;nein;Rechnung;;5.2007;;8,5;So;1899-12-30 14:32:00.000;1;503639;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;2;33,7;2003-10-19 00:00:00.000;0;2;nein
95;ja;nein;1967-06-14 00:00:00.000;ja;nein;Lastschrift;;7.2005;ja;12,6;So;1899-12-30 04:20:00.000;1;104645;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;nein;2;113,46;2002-12-26 00:00:00.000;0;0;nein
98;ja;nein;1968-05-09 00:00:00.000;ja;nein;Rechnung;;6.2007;;56;Sa;1899-12-30 08:17:00.000;1;107699;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
100;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;1.2005;;54,5;So;1899-12-30 03:23:00.000;1;206774;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
107;nein;nein;1975-04-13 00:00:00.000;ja;nein;Lastschrift;;8.2006;ja;54,5;Fr;1899-12-30 16:02:00.000;1;406398;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
112;nein;ja;1899-12-30 00:00:00.000;ja;nein;Lastschrift;;4.2005;ja;85,8;So;1899-12-30 18:09:00.000;3;106685;104792.0;409121.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;48,27;2002-03-29 00:00:00.000;0;0;nein
114;ja;nein;1977-08-10 00:00:00.000;nein;nein;Kreditkarte;Eurocard;10.2006;ja;93,59;Mi;1899-12-30 21:08:00.000;3;407193;407359.0;100147.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
116;ja;nein;1964-07-10 00:00:00.000;ja;ja;Rechnung;;10.2005;;26;So;1899-12-30 15:04:00.000;1;404077;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
123;ja;nein;1976-01-31 00:00:00.000;ja;nein;Rechnung;;2.2005;;32,8;Di;1899-12-30 10:27:00.000;1;106685;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;2;35,58;2004-04-12 00:00:00.000;3;3;nein
126;nein;nein;1975-07-16 00:00:00.000;ja;nein;Kreditkarte;Amex;2.2005;ja;113,8;Fr;1899-12-30 00:02:00.000;3;401216;400822.0;507046.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
129;ja;nein;1981-10-28 00:00:00.000;ja;nein;Rechnung;;5.2005;;18;Sa;1899-12-30 13:32:00.000;1;407223;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
133;ja;nein;1971-05-07 00:00:00.000;ja;nein;Kreditkarte;Visa;5.2006;ja;132,7;Do;1899-12-30 20:24:00.000;4;406160;203367.0;409053.0;200061.0;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
135;ja;nein;1985-05-13 00:00:00.000;ja;nein;Rechnung;;11.2006;;16;Sa;1899-12-30 22:56:00.000;1;206929;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;5;nein;1;8,08;2004-06-12 00:00:00.000;1;1;nein
137;ja;nein;1976-11-16 00:00:00.000;ja;nein;Rechnung;;6.2005;;68,4;Do;1899-12-30 16:58:00.000;1;505685;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
139;ja;nein;1973-02-24 00:00:00.000;ja;nein;Kreditkarte;Eurocard;5.2007;ja;46,5;Do;1899-12-30 21:36:00.000;1;400329;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
141;nein;nein;1979-12-03 00:00:00.000;ja;nein;Rechnung;;1.2006;;68,4;Sa;1899-12-30 07:18:00.000;1;405965;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
142;ja;nein;1981-11-21 00:00:00.000;nein;nein;Lastschrift;;10.2007;ja;17,8;Mo;1899-12-30 12:50:00.000;1;307699;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
143;ja;nein;1972-04-19 00:00:00.000;ja;nein;Kreditkarte;Eurocard;4.2005;ja;56,7;Fr;1899-12-30 18:10:00.000;3;304159;302133.0;108499.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;nein;1;41,26;2004-12-02 00:00:00.000;0;0;nein
159;ja;nein;1964-01-02 00:00:00.000;nein;nein;Lastschrift;;8.2007;ja;68,4;Sa;1899-12-30 00:09:00.000;1;408289;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
161;ja;nein;1972-06-13 00:00:00.000;ja;ja;Kundenkarte;Kundenkarte;5.2006;ja;39,5;Mo;1899-12-30 07:43:00.000;1;306284;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;9,59;2002-12-07 00:00:00.000;0;0;nein
165;ja;nein;1971-10-09 00:00:00.000;ja;nein;Kreditkarte;Visa;1.2007;nein;54,5;Sa;1899-12-30 09:28:00.000;1;407416;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;nein;1;67,4;2001-10-24 00:00:00.000;0;0;nein
167;ja;nein;1966-09-08 00:00:00.000;ja;ja;Rechnung;;12.2005;;51,5;So;1899-12-30 17:40:00.000;2;500476;402062.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;96,65;2001-11-01 00:00:00.000;0;0;nein
170;ja;nein;1984-02-04 00:00:00.000;ja;nein;Rechnung;;3.2006;;54,5;Sa;1899-12-30 17:17:00.000;1;609121;;;;;;;;;;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
171;ja;ja;1974-12-10 00:00:00.000;ja;nein;Rechnung;;9.2007;;12,6;So;1899-12-30 00:05:00.000;1;404935;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;2;55,46;2003-03-27 00:00:00.000;0;0;nein
173;ja;nein;1979-01-21 00:00:00.000;nein;nein;Kreditkarte;Visa;10.2005;ja;118,2;Mi;1899-12-30 13:40:00.000;5;406504;405643.0;303367.0;202634.0;402090.0;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
174;ja;nein;1969-04-30 00:00:00.000;ja;nein;Rechnung;;8.2006;;18,5;Mi;1899-12-30 10:23:00.000;1;108777;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;49,26;2004-01-25 00:00:00.000;1;1;nein
176;nein;nein;1977-01-25 00:00:00.000;ja;nein;Rechnung;;7.2006;;54,5;So;1899-12-30 20:49:00.000;1;203367;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
177;nein;nein;1968-01-27 00:00:00.000;ja;nein;Rechnung;;3.2007;;12,6;Di;1899-12-30 06:17:00.000;1;401241;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
